,name,genre,episodes,rating,members,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
0,Kimi no Na wa.,"Drama, Romance, School, Supernatural",1,9.37,200630,1,0,0,0,0,0
1,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",64,9.26,793665,0,0,0,0,0,1
2,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51,9.25,114262,0,0,0,0,0,1
3,Steins;Gate,"Sci-Fi, Thriller",24,9.17,673572,0,0,0,0,0,1
4,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51,9.16,151266,0,0,0,0,0,1
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",10,9.15,93351,0,0,0,0,0,1
6,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",148,9.13,425855,0,0,0,0,0,1
7,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",110,9.11,80679,0,0,0,1,0,0
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",1,9.1,72534,1,0,0,0,0,0
9,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13,9.11,81109,0,0,0,0,0,1
10,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",24,9.06,456749,0,0,0,0,0,1
11,Koe no Katachi,"Drama, School, Shounen",1,9.05,102733,1,0,0,0,0,0
12,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,9.04,336376,0,0,0,0,0,1
13,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",25,8.98,572888,0,0,0,0,0,1
14,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",25,8.93,179342,0,0,0,0,0,1
15,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",1,8.93,466254,1,0,0,0,0,0
16,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",22,8.92,416397,0,0,0,0,0,1
17,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",10,8.88,75894,0,0,0,0,0,1
18,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",1,8.84,226193,1,0,0,0,0,0
19,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",25,8.83,715151,0,0,0,0,0,1
20,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",75,8.83,157670,0,0,0,0,0,1
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",4,8.83,129307,0,0,0,1,0,0
22,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,8.82,486824,0,0,0,0,0,1
23,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",12,8.82,552458,0,0,0,0,0,1
24,Mononoke Hime,"Action, Adventure, Fantasy",1,8.81,339556,1,0,0,0,0,0
25,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1,8.81,240297,1,0,0,0,0,0
